Price,Bedrooms,Bathrooms,SquareFeet,YearBuilt,GarageSpaces,LotSize,ZipCode,CrimeRate,SchoolRating
768057,4,1.7,2847,1972,2,1.46,75201,37.28,10
712254,5,3.3,2740,1964,1,1.66,30301,39.89,1
713762,3,2.4,3163,1966,2,0.99,30301,84.57,3
881840,5,2.7,3306,1963,2,1.29,60601,49.06,5
881072,5,2.9,3591,1965,1,1.54,30301,53.41,4
482523,2,2.7,1782,1981,1,1.35,94101,47.69,4
712738,3,3.6,2917,1972,1,1.09,75201,54.36,1
666245,3,3.1,2319,1983,3,1.28,30301,25.24,6
715567,3,2.6,2629,1965,0,1.13,10001,36.26,10
985761,5,3.7,3938,1983,2,2.11,30301,63.25,4
862304,4,3.0,3495,2020,0,1.26,75201,45.54,1
708078,3,2.6,2688,1982,1,1.28,94101,47.97,10
718011,5,2.9,2615,2017,2,1.28,30301,49.6,6
869835,2,1.7,3796,1992,2,0.56,94101,63.76,5
956478,4,3.0,3972,2013,0,1.3,10001,37.18,5
618155,2,2.7,2661,2020,1,1.25,75201,52.0,2
753746,4,3.2,2723,1967,2,1.49,60601,6.94,1
924457,5,3.3,3443,2017,0,0.87,75201,17.76,7
424748,1,1.8,1628,2010,1,0.92,60601,45.03,5
936020,4,3.5,3731,1969,2,0.84,60601,27.9,3
581339,2,1.9,2431,1960,2,1.15,75201,69.67,6
813286,5,3.9,3107,1995,1,1.66,60601,28.64,3
718408,4,2.7,2864,2013,2,1.26,94101,47.44,6
602270,1,1.9,2460,1977,3,0.92,10001,66.05,6
639675,1,1.6,2700,1997,0,0.62,30301,59.87,9
862302,3,2.6,3464,1984,2,1.14,60601,39.11,8
764922,3,3.4,3078,1957,0,0.67,60601,42.2,1
551382,2,2.9,2173,1971,0,0.82,75201,59.49,7
477462,4,3.7,1479,1973,1,1.58,94101,66.14,9
821696,4,3.5,3248,2015,1,0.9,30301,79.94,2
668006,3,2.3,2699,2013,2,1.35,60601,66.1,9
791919,4,3.0,3169,2014,1,0.69,94101,63.71,6
757043,4,2.8,3126,1963,2,0.94,30301,56.85,3
347820,1,3.0,1236,1974,1,0.61,75201,52.42,8
738454,3,2.3,2978,1952,1,1.15,60601,42.58,7
971146,5,3.9,3816,1954,2,1.33,75201,59.97,8
769622,3,3.3,3041,2014,2,0.92,75201,45.27,8
1015958,5,4.4,3973,2003,2,1.83,60601,63.93,7
484384,1,2.1,2202,1968,2,1.06,94101,64.45,1
582093,2,3.0,2094,2003,1,0.77,94101,59.4,10
854048,4,4.3,3064,1959,2,1.18,75201,37.55,10
502701,1,2.0,1945,1965,1,0.61,75201,48.23,10
785742,4,2.4,3153,1995,2,1.97,10001,71.68,8
718446,2,1.7,2799,1978,3,0.91,30301,15.86,5
629581,2,3.0,2621,1964,0,1.37,75201,53.8,2
631700,1,1.4,2938,1997,1,0.92,75201,65.14,2
744465,2,2.4,3403,1960,2,0.87,30301,58.69,2
906727,5,3.7,3539,1983,2,1.31,60601,91.39,9
236807,2,2.7,400,1985,1,1.13,94101,17.76,5
953447,4,3.4,3718,1979,3,1.06,60601,26.33,3
737597,4,3.3,2829,2022,2,1.18,30301,53.65,6
734013,4,3.8,2699,1968,1,1.5,30301,68.64,9
777847,4,2.7,2900,2017,0,1.23,10001,51.15,9
859914,5,3.2,3276,2019,2,1.38,10001,76.36,9
754953,3,2.5,3006,1982,0,1.01,94101,38.46,10
306410,1,2.7,1120,1971,1,0.49,75201,44.54,4
673963,4,3.7,2561,1985,2,1.43,30301,65.25,5
598486,2,2.8,2471,1972,2,0.91,10001,42.93,1
872252,4,3.8,3411,2012,2,0.89,60601,68.74,10
625707,2,2.0,2620,1975,1,0.75,10001,63.9,6
533132,2,3.4,1906,2009,2,0.79,60601,41.67,2
747155,4,4.0,2610,1954,3,1.19,10001,55.99,7
839679,5,3.9,3246,2003,1,1.68,60601,40.44,4
619987,2,3.5,2419,1987,2,0.69,10001,32.15,4
787125,2,1.8,3042,2011,3,1.71,10001,42.17,9
551704,4,2.9,2076,1974,2,1.72,94101,46.41,1
533656,2,2.2,2189,1961,2,1.31,75201,52.23,6
410427,2,3.0,1633,1971,1,0.59,30301,47.83,2
651405,4,2.7,2273,1958,2,0.69,75201,14.9,6
922469,4,3.6,3583,1978,2,1.2,94101,69.82,7
567914,1,3.0,2172,1993,2,0.79,60601,15.95,3
958620,5,3.8,3724,1976,3,1.45,75201,53.78,4
957508,5,3.6,3960,2004,0,1.34,30301,35.18,2
529005,2,2.1,2060,1954,0,0.38,30301,52.92,7
878468,5,3.1,3283,2001,0,1.3,60601,45.52,9
793606,2,3.2,3392,1962,2,0.83,30301,56.95,5
426152,1,2.7,1776,1991,1,0.55,94101,60.41,5
885486,4,3.2,3467,1964,2,1.15,75201,70.76,9
775710,4,3.0,3103,1967,1,1.06,30301,65.46,8
557171,4,2.2,2175,1999,1,1.8,75201,50.83,1
633057,5,3.0,2477,1951,1,1.71,10001,68.86,2
457116,1,3.3,1610,1962,2,0.99,75201,39.82,7
979708,5,2.9,4028,2017,2,1.58,60601,83.62,3
1018868,5,3.6,3894,1996,3,1.1,94101,38.11,6
577482,1,2.8,2357,1999,2,0.92,30301,40.6,1
403825,1,1.7,1406,1961,1,1.1,94101,13.66,8
632384,1,2.4,2707,1962,1,1.15,75201,36.65,2
371878,1,2.8,1417,1958,3,0.89,30301,44.66,1
808953,4,3.2,3206,2008,2,1.3,94101,44.55,2
702918,3,4.3,2694,1994,0,1.1,60601,83.66,8
683722,3,2.1,2613,2019,2,1.26,10001,61.7,10
584407,1,2.8,2569,1992,1,0.21,10001,68.78,5
613600,3,2.8,2347,1972,1,1.29,60601,50.0,9
